State Name,County Name,Date,ae_error,vae_error,if_score,aqi_category,ae_rank,State Code,County Code,co_mean,co_max,so2_mean,so2_max,no2_mean,no2_max,o3_mean,o3_max,pm25_frm_fem_mass_mean,pm25_frm_fem_mass_max,pm25_non_frm_fem_mass_mean,pm25_non_frm_fem_mass_max,pm10_mass_mean,pm10_mass_max,pmc_mass_mean,pmc_mass_max,pm25_speciation_mean,pm25_speciation_max,pm10_speciation_mean,pm10_speciation_max,aqi_lag1,aqi_lag2,aqi_lag3
texas,el paso,2025-03-14,1.2831104,1.3951917,0.6954677889687828,Hazardous,21,48.0,141.0,0.2492605,0.4,0.05,0.3,2.9625,7.8,0.0405293333333333,0.046,35.146875125,248.8,8.809809267792625,41.01121417005851,507.0,700.0,32.746622398569635,211.2635588274268,18.467916012820517,663.0,403.375,2916.9,194.0,72.0,122.0
texas,el paso,2025-05-02,1.2475044,2.9601824,0.6974919085553908,Unhealthy,22,48.0,141.0,0.2802395,0.928,0.077019,1.3,8.520833,39.3,0.0405,0.049,27.347321375,769.0,4.444061754488044,10.604707048561288,174.5,208.0,111.12381,451.9,338.36267757355654,656.88588892828,175.18125,786.1,88.0,64.0,84.0
texas,el paso,2025-02-12,1.2420726,3.001986,0.6924207575898422,Unhealthy,23,48.0,141.0,0.375697,0.7,0.0,0.0,4.44375,14.3,0.0364243333333333,0.047,35.90595242857143,681.0,3.882087914821535,5.30211656283971,168.0,235.0,18.65379261674924,123.40767938976504,18.438993243589746,663.0,230.3625,1693.6,633.0,156.0,137.0
texas,el paso,2025-03-21,1.2162502,6.8483543,0.6921034705186107,Moderate,24,48.0,141.0,0.4727187499999999,2.23,0.5645835,3.4,21.3916665,52.3,0.0248431666666666,0.05,14.614583375,66.3,3.660783485047274,10.532860968441584,130.5,146.0,113.0,463.4,203.39069133392044,542.4934004738635,131.1541665,584.4,73.0,45.0,2122.0
new mexico,lea,2025-04-01,1.186484,1.3082067,0.697148715696688,Unhealthy,25,35.0,25.0,0.2391521333845445,0.4524599641194795,0.1833799104032777,0.618761042058106,6.435714,14.0,0.040471,0.043,64.8083335,217.0,8.39394520323447,27.73417086662896,402.2765877816009,520.3629900599892,375.12777435488,1368.4892161727244,21.47819403988257,654.8719940018732,307.05155194278785,1788.1560617978837,58.0,68.0,63.0
missouri,st. louis city,2025-01-16,1.1760702,123.65024,0.48436629796776853,Good,26,29.0,510.0,0.3005105,0.891,0.8245345,1.2,23.4791665,50.7,0.017,0.035,7.989443428571429,29.5,6.975521735561516,14.386727289933283,17.0,23.0,5.9,10.1,41.539499025,40467.6,18.24270825,102.6,55.0,41.0,37.0
new mexico,lea,2025-04-18,1.1741121,2.1718073,0.701257498592665,Unhealthy,27,35.0,25.0,0.2467157331087569,0.5684675487669496,0.3157774687698934,0.8102465186071262,3.683333,5.8,0.032,0.036,115.60625,383.7,7.9652349193162815,16.767429541278037,278.7928156038101,308.62685384112666,217.7851411673166,1719.045093313698,128.0425863140904,365.0437927017462,271.75686309590355,1982.812514105182,60.0,58.0,48.0
texas,el paso,2025-03-13,1.1027602,1.2879343,0.710092552602552,Unhealthy,28,48.0,141.0,0.393875,1.444,0.5,2.5,16.410417,40.2,0.0361175,0.045,45.30833316666667,448.0,4.332255930363929,57.16570837356463,341.0,341.0,32.8185637886717,268.5644775483586,200.56383486646183,535.7043189506524,341.541667,3882.6,72.0,122.0,63.0
texas,el paso,2025-02-11,1.0557841,5.6805506,0.6997724982892989,Hazardous,29,48.0,141.0,0.40246875,0.8,0.2354165,1.5,8.935326,31.5,0.0343431666666666,0.042,74.49968433333333,724.0,3.8961135259282167,9.813584140698708,724.0,724.0,31.861754513911567,242.42312321360555,197.8961700895417,538.2599076051262,724.795833,5936.6,156.0,137.0,103.0
new mexico,dona ana,2025-04-01,1.0418264,3.4709437,0.7266281903501541,Hazardous,30,35.0,13.0,0.2248792475357626,0.4954043658607615,0.0804759462493915,0.504063112720237,3.0708335,25.2,0.0409881999999999,0.052,128.1983332,673.2,5.034247392989776,35.130717782550725,440.6,601.0,978.368343001552,3368.1911519618043,20.215095714805315,659.8730938165584,440.9990338,2165.0,55.0,73.0,159.0
arizona,pinal,2025-04-18,0.9853662,1.4887607,0.6515823686055191,Hazardous,31,4.0,21.0,0.2429844054699293,0.4803634069563486,0.1106663685330137,0.4892170083668514,5.448786380300759,34.42497767839826,0.0479213333333333,0.055,9.510416666666666,232.8,0.0,0.0,164.5,841.0,30.00239967663231,293.83895846545533,271.3834351058589,712.8376335915992,164.94223483333334,9403.0,45.0,55.0,76.0
iowa,van buren,2025-03-14,0.97633314,1.4829721,0.5292488228274362,Moderate,32,19.0,177.0,0.2087801353702097,0.3477321481038843,0.046212,0.2,1.581818,2.7,0.044882,0.056,13.1,13.1,11.88152175,24.0,46.0,46.0,31.6,31.6,281.7625,731.0,172.9009805744494,1260.789305986918,74.0,54.0,42.0
missouri,jefferson,2025-03-15,0.96426344,3.2355027,0.6888915396205034,Good,33,29.0,99.0,0.1892672715614881,0.3255477492318415,0.37395825,1.1,4.951041368367493,14.561138203940557,0.0252305,0.033,29.48,60.4,15.200887975774265,69.36134062004855,424.6450405555074,438.3450157732132,345.8959697103344,714.3109323845927,8.525900865841214,22.425812847901412,194.454545,480.0,38.0,65.0,77.0
texas,el paso,2025-03-02,0.94395846,2.7665806,0.7189249535549571,Unhealthy,34,48.0,141.0,0.2652045,0.407,0.00625,0.2,6.365,34.0,0.0394411666666666,0.056,26.9658333,396.0,5.572852399946203,37.23926704978447,142.0,223.0,183.495833,739.2,18.44971791025641,667.0,214.8770835,892.0,91.0,73.0,283.0
california,los angeles,2025-01-08,0.9399657,0.9617952,0.7313680681093068,Unhealthy,35,6.0,37.0,0.4858925625,3.8,3.71655675,30.8,14.939327142857143,62.1,0.0249765,0.045,46.64784007692308,301.1,8.368157428571427,58.8,146.0,233.0,16.838064113986263,71.81496910150227,89.4445575882353,764.0,142.09661816666667,620.0,179.0,71.0,78.0
texas,el paso,2025-03-20,0.92842,1.8456403,0.6053333548394697,Moderate,36,48.0,141.0,0.33919325,0.6,0.0208335,0.3,17.41875,41.1,0.0270423333333333,0.046,11.683333222222222,31.6,3.4155683126451883,15.855252351242626,81.33333333333333,100.0,58.079167,89.7,18.541549743589744,671.0,83.35625,200.3,45.0,2122.0,74.0
texas,el paso,2025-05-13,0.917905,1.9086682,0.6634735762097611,Hazardous,37,48.0,141.0,0.2136875,0.6,0.0729165,0.4,4.7479165000000005,15.1,0.0347936666666666,0.043,61.60595228571429,300.0,4.265230495259033,14.977176262833687,373.1666666666667,517.0,19.786382769737152,72.20334805002209,19.32236523076923,665.0,517.979167,1686.7,90.0,129.0,61.0
arizona,pinal,2025-01-11,0.89011973,0.7991572,0.5943032296380563,Moderate,38,4.0,21.0,0.4806442834865387,1.4980306789565214,0.4718575181991531,2.3027003881094226,18.87974847146166,38.65458061289671,0.0288598,0.044,8.490277833333334,37.7,0.0,0.0,42.5,96.0,23.506138794240474,99.89938643644916,271.29481242293485,714.2353209312238,42.777777750000006,448.0,44.0,56.0,1215.0
texas,el paso,2025-03-26,0.85719866,0.8902203,0.7022989278914822,Unhealthy,39,48.0,141.0,0.35072925,0.7,0.1291665,0.5,15.5714285,40.5,0.0367176,0.05,24.4179166,113.6,4.046212816146282,13.099552218506185,125.0,268.0,106.233333,525.5,18.93745073076923,668.0,205.164583,1574.5,75.0,69.0,68.0
illinois,saint clair,2025-03-14,0.8527445,6.1447105,0.6640777623735041,Moderate,40,17.0,163.0,0.2013394032967232,0.3369681282145986,3.3770835,4.0,5.816263939079796,12.919728476839968,0.040706,0.05,13.584375,24.9,16.190085610115013,38.94579632807479,378.7050105149268,685.0454437315244,54.65232440777507,165.85520208258987,20.148886557274235,735.1448637438489,78.20905375616046,4795.096395971195,73.0,71.0,64.0
massachusetts,middlesex,2025-03-31,0.83000493,0.88540316,0.4759214872093825,Good,41,25.0,17.0,0.2618418744905195,0.7455450480556383,0.2190462330216172,0.754095229383141,12.416667,20.0,0.028882,0.032,7.890625,15.1,7.241163949584971,14.843829043070686,10.64845317263193,11.091585479263127,4.783620997624393,11.832025608062224,14.823687115408903,29.486669220389995,115.472917,1354.5,50.0,38.0,46.0
country of mexico,sonora,2025-01-08,0.8238323,0.5432753,0.7067147640808842,Unhealthy,42,80.0,26.0,0.185285135138452,0.4413336300979409,0.0459956695358141,0.2409765708277577,6.57954350718795,25.42436952982497,0.023735,0.038,38.0229165,102.2,25.503116115644445,303.26581417501643,268.0,268.0,54.1075109328135,391.7166467755276,218.97036452384117,653.5047964820964,268.183333,812.4,61.0,79.0,69.0
new mexico,dona ana,2025-03-13,0.7961663,0.70437974,0.6864031205811456,Hazardous,43,35.0,13.0,0.3871141322782432,1.416974899750272,0.4945760810343512,2.450969473396024,5.2020835000000005,19.1,0.041506,0.045,84.7858334,501.6,4.314105194176705,58.96600434087076,379.2,506.0,33.28760690214314,277.8860360891499,203.6528577294096,543.9664716273306,379.6845426,2956.0,63.0,84.0,70.0
missouri,saint louis,2025-01-16,0.7556887,113.84251,0.43654045346155346,Good,44,29.0,189.0,0.2997594920391848,0.8871287197062552,1.2083335,3.0,18.045833,38.5,0.0170708086209104,0.0349788270428884,7.057978053857431,20.374729671819768,6.918695550042493,14.579687699856036,14.430145725996326,18.232837591701887,5.897253186011992,10.070798954999534,42.60278265671802,40008.70073233745,15.47088638636197,71.82567584708563,37.0,24.0,34.0
texas,lubbock,2025-03-18,0.74515975,1.8967218,0.6824940312498631,Unhealthy,45,48.0,303.0,0.2487968328439655,0.4610012615521744,0.1916967059757017,0.6911269968963464,4.552689564933686,15.386745287195364,0.0450226525998755,0.0498045976567368,78.725,482.2,5.812218326330977,9.960679764280853,390.1751008318061,491.7553581191792,396.4785790326172,1870.041067554705,125.61007370807188,312.9749320689146,116.10014693156072,613.1482802129567,46.0,1.0,13.0
arizona,pinal,2025-01-10,0.7370534,1.3506253,0.5535569901212181,Good,46,4.0,21.0,0.3554701081094902,1.373574379734883,0.3000299290659103,1.7090091931995048,18.27499722312784,40.563369128069866,0.0305082,0.044,5.405555499999999,26.7,0.0,0.0,34.416666666666664,47.0,15.957314985678272,120.00637826306668,12.346652759603284,679.0182535586622,34.923611,499.0,56.0,1215.0,80.0
oklahoma,washington,2025-03-14,0.73635614,0.3602647,0.7472381020369414,Unhealthy,47,40.0,147.0,0.2047511033883079,0.472207074120911,0.8935469763618039,2.4684607943878665,3.737201015838327,10.635292068405034,0.043588,0.053,79.1208335,266.9,39.53044199665624,136.11265313858118,369.28105254740507,452.2273109073513,220.52813740221225,896.6734608602651,62.83724197523532,686.1724270829326,356.625,1306.0,97.0,49.0,74.0
arizona,pinal,2025-01-08,0.7293644,2.4787903,0.7140712550555902,Hazardous,48,4.0,21.0,0.1990587493337878,0.6411646025587109,0.1188637927511984,0.8246810396671079,6.914798917734712,27.383441502826464,0.031541,0.038,44.7618055,412.9,0.0,0.0,472.6363636363636,1247.0,74.5537966377901,568.8181706583226,244.5999679134125,717.9114798995363,444.60628025,6108.0,80.0,89.0,57.0
new mexico,dona ana,2025-03-05,0.7186244,1.1172618,0.653396524103448,Moderate,49,35.0,13.0,0.421792338605612,1.371511576108798,0.4930993244614874,1.5710112098471576,8.1664855,46.8,0.0312587999999999,0.047,10.3446211,148.8,4.43879236504651,13.005223938224136,31.0,50.0,185.54886633708037,216.5807243426752,336.85,661.0,31.4811402,176.0,188.0,338.0,119.0
california,los angeles,2025-01-07,0.7109685,1.8053516,0.6427358051067027,Unhealthy,50,6.0,37.0,0.3373405625,2.7,0.47666675,4.1,10.697670785714283,50.3,0.038369,0.045,16.991666647058825,150.0,7.90387225,49.6,126.625,311.0,12.485676467178488,26.422361227747324,290.60714285714283,762.0,54.5239845925926,2001.0,71.0,78.0,106.0
